Project_ID,Project_Name,Region,Project_Type,Phase,Status,Department,Contractor,Start_Date,End_Date,Month_Name,Month_Number,Budget,Cost,Safety_Incidents,Issue_Resolution_Time_Days
P0001,Project_1,North,Residential,Finishing,In Progress,Engineering,SafeBuild,2025-03-13,2025-11-16,March,3,414947,450982,8,2
P0002,Project_2,West,Residential,Design,Completed,Engineering,SafeBuild,2025-09-16,2026-04-18,September,9,255649,267520,8,7
P0003,Project_3,South,Commercial,Finishing,In Progress,Engineering,UrbanCon,2025-12-24,2026-06-10,December,12,913557,865371,3,13
P0004,Project_4,East,Residential,Design,In Progress,Engineering,PrimeBuild,2025-06-26,2026-01-26,June,6,754740,854739,7,9
P0005,Project_5,North,Commercial,Design,Pending,Safety,NextGen Infra,2025-07-05,2026-01-28,July,7,603258,661532,0,11
P0006,Project_6,South,Commercial,Design,Completed,Engineering,Skyline Co,2025-05-23,2025-11-15,May,5,1533126,1750735,2,6
P0007,Project_7,East,Residential,Finishing,In Progress,Procurement,BuildCorp,2025-11-08,2026-06-18,November,11,558903,579553,3,3
P0008,Project_8,West,Commercial,Construction,Pending,Procurement,BlueRock,2025-04-23,2025-12-14,April,4,880070,1007678,0,4
P0009,Project_9,North,Commercial,Construction,In Progress,Engineering,SafeBuild,2025-10-18,2026-07-29,October,10,1705575,1637586,7,7
P0010,Project_10,West,Residential,Construction,Completed,Engineering,BlueRock,2025-10-03,2026-02-07,October,10,1766601,1863066,6,6
P0011,Project_11,South,Residential,Finishing,In Progress,Engineering,ABC Ltd,2025-02-26,2025-06-05,February,2,1515849,1373349,6,10
P0012,Project_12,North,Commercial,Construction,Pending,Safety,BlueRock,2025-05-09,2025-11-26,May,5,224077,243818,1,11
P0013,Project_13,East,Industrial,Construction,Completed,Safety,Skyline Co,2025-03-22,2025-09-14,March,3,206805,244823,4,9
P0014,Project_14,South,Industrial,Design,Pending,Safety,BlueRock,2025-11-08,2026-02-26,November,11,520527,510569,2,9
P0015,Project_15,North,Industrial,Construction,In Progress,Engineering,BuildCorp,2025-07-05,2026-04-15,July,7,1944129,2201475,3,1
P0016,Project_16,South,Industrial,Design,Completed,Procurement,Titan Builders,2025-02-05,2025-10-17,February,2,1317165,1472645,2,11
P0017,Project_17,West,Industrial,Design,In Progress,Procurement,NextGen Infra,2025-08-05,2025-11-27,August,8,1330985,1483173,3,12
P0018,Project_18,East,Commercial,Finishing,Pending,Safety,Titan Builders,2025-09-22,2026-03-16,September,9,453764,425071,1,6
P0019,Project_19,North,Industrial,Finishing,Completed,Procurement,SafeBuild,2025-01-04,2025-03-23,January,1,1684450,1803853,3,2
P0020,Project_20,North,Commercial,Design,Pending,Engineering,MegaConstruct,2025-12-09,2026-06-11,December,12,649287,674435,7,4
P0021,Project_21,West,Commercial,Design,Completed,Engineering,Skyline Co,2025-07-01,2025-12-16,July,7,1062143,1076437,0,11
P0022,Project_22,North,Residential,Construction,Pending,Safety,BuildCorp,2025-05-08,2025-08-25,May,5,598896,621474,2,7
P0023,Project_23,South,Commercial,Construction,Completed,Engineering,Titan Builders,2025-10-09,2026-01-02,October,10,306091,330042,8,14
P0024,Project_24,North,Residential,Design,Completed,Safety,Titan Builders,2025-09-04,2025-12-27,September,9,1041042,1213704,2,7
P0025,Project_25,North,Commercial,Construction,In Progress,Safety,Skyline Co,2025-12-23,2026-08-27,December,12,1842828,1924868,7,3
P0026,Project_26,South,Commercial,Design,Completed,Procurement,BlueRock,2025-02-01,2025-10-10,February,2,857676,746184,7,9
P0027,Project_27,South,Residential,Finishing,Completed,Engineering,BuildCorp,2025-11-01,2026-01-17,November,11,1616023,1861071,6,2
P0028,Project_28,South,Industrial,Finishing,Completed,Procurement,BuildCorp,2025-08-03,2026-03-19,August,8,1424049,1492160,5,15
P0029,Project_29,East,Residential,Finishing,Pending,Safety,SafeBuild,2025-05-16,2025-10-24,May,5,474471,514844,4,8
P0030,Project_30,East,Residential,Design,In Progress,Procurement,NextGen Infra,2025-02-21,2025-05-10,February,2,1327501,1227412,4,3
P0031,Project_31,East,Residential,Design,In Progress,Safety,UrbanCon,2025-08-13,2026-05-13,August,8,1339210,1468094,8,1
P0032,Project_32,East,Industrial,Design,Completed,Safety,BuildCorp,2025-02-24,2025-11-01,February,2,1360194,1230168,4,10
P0033,Project_33,South,Industrial,Construction,Completed,Procurement,MegaConstruct,2025-09-16,2026-03-20,September,9,726639,847891,0,2
P0034,Project_34,West,Commercial,Design,Completed,Safety,UrbanCon,2025-11-23,2026-03-30,November,11,538861,597828,8,12
P0035,Project_35,West,Industrial,Design,Completed,Engineering,UrbanCon,2025-10-07,2025-12-15,October,10,1950272,1909756,8,3
P0036,Project_36,West,Residential,Design,In Progress,Safety,ABC Ltd,2025-07-03,2025-10-24,July,7,1630397,1528228,1,6
P0037,Project_37,West,Industrial,Finishing,Completed,Engineering,UrbanCon,2025-04-01,2026-01-11,April,4,1064644,914183,5,13
P0038,Project_38,West,Industrial,Finishing,Completed,Safety,UrbanCon,2025-12-26,2026-03-23,December,12,1002248,1157855,7,4
P0039,Project_39,South,Commercial,Construction,In Progress,Engineering,SafeBuild,2025-01-13,2025-08-29,January,1,605022,598646,4,14
P0040,Project_40,North,Commercial,Construction,Pending,Procurement,Skyline Co,2025-12-14,2026-09-15,December,12,1324525,1279361,0,2
P0041,Project_41,East,Residential,Finishing,In Progress,Engineering,BuildCorp,2025-11-02,2026-04-22,November,11,924958,1022070,5,7
P0042,Project_42,North,Commercial,Finishing,Completed,Safety,ABC Ltd,2025-12-29,2026-06-18,December,12,203546,210053,8,11
P0043,Project_43,South,Commercial,Construction,Completed,Procurement,PrimeBuild,2025-11-16,2026-04-05,November,11,1591224,1824824,4,9
P0044,Project_44,East,Industrial,Construction,In Progress,Safety,MegaConstruct,2025-10-11,2026-01-11,October,10,602317,600604,6,11
P0045,Project_45,South,Industrial,Finishing,In Progress,Safety,BlueRock,2025-01-01,2025-05-18,January,1,801701,740422,5,8
P0046,Project_46,West,Commercial,Finishing,Completed,Procurement,Titan Builders,2025-03-28,2025-11-11,March,3,377829,358682,5,2
P0047,Project_47,South,Industrial,Construction,Completed,Engineering,UrbanCon,2025-01-13,2025-03-25,January,1,713472,852154,1,8
P0048,Project_48,West,Industrial,Finishing,Completed,Procurement,Skyline Co,2025-09-11,2026-02-20,September,9,711672,641679,0,15
P0049,Project_49,North,Commercial,Design,Completed,Procurement,BlueRock,2025-08-26,2025-11-06,August,8,1368964,1283019,1,8
P0050,Project_50,South,Commercial,Finishing,Pending,Procurement,NextGen Infra,2025-06-12,2026-02-20,June,6,1128143,1200827,8,7
P0051,Project_51,West,Residential,Finishing,In Progress,Safety,MegaConstruct,2025-05-07,2026-02-06,May,5,1537272,1455887,8,8
P0052,Project_52,South,Commercial,Construction,Completed,Procurement,MegaConstruct,2025-05-01,2025-09-07,May,5,904323,869866,8,2
P0053,Project_53,South,Residential,Design,In Progress,Procurement,UrbanCon,2025-12-28,2026-04-21,December,12,334697,333091,5,9
P0054,Project_54,West,Commercial,Design,Completed,Safety,Skyline Co,2025-10-27,2026-06-22,October,10,240961,277070,6,8
P0055,Project_55,North,Commercial,Construction,In Progress,Safety,BlueRock,2025-10-07,2026-06-28,October,10,1465112,1705733,7,4
P0056,Project_56,East,Commercial,Construction,Completed,Safety,PrimeBuild,2025-12-09,2026-07-30,December,12,1873825,1857917,2,14
P0057,Project_57,West,Residential,Finishing,Pending,Engineering,Skyline Co,2025-10-31,2026-05-23,October,10,1590411,1366935,6,3
P0058,Project_58,West,Residential,Design,In Progress,Safety,PrimeBuild,2025-04-19,2025-10-12,April,4,885445,857221,6,5
P0059,Project_59,West,Commercial,Design,In Progress,Engineering,BlueRock,2025-01-27,2025-06-25,January,1,670227,722203,0,13
P0060,Project_60,North,Residential,Design,Completed,Procurement,UrbanCon,2025-05-03,2025-08-03,May,5,1193129,1293722,3,8
P0061,Project_61,East,Commercial,Design,Pending,Procurement,BuildCorp,2025-03-25,2025-08-11,March,3,426699,449117,4,10
P0062,Project_62,West,Commercial,Finishing,Completed,Engineering,NextGen Infra,2025-12-20,2026-09-18,December,12,1515422,1416915,4,14
P0063,Project_63,North,Industrial,Design,In Progress,Procurement,Skyline Co,2025-12-05,2026-05-08,December,12,344612,353946,5,1
P0064,Project_64,West,Commercial,Design,In Progress,Safety,Titan Builders,2025-12-29,2026-04-07,December,12,1113282,1014921,8,11
P0065,Project_65,East,Industrial,Finishing,In Progress,Safety,Skyline Co,2025-10-31,2026-03-08,October,10,875921,1005644,1,5
P0066,Project_66,West,Residential,Construction,Pending,Procurement,Skyline Co,2025-06-22,2025-08-28,June,6,1236635,1419451,2,8
P0067,Project_67,South,Commercial,Construction,In Progress,Safety,NextGen Infra,2025-12-26,2026-10-07,December,12,779377,814080,8,4
P0068,Project_68,North,Residential,Finishing,In Progress,Safety,BlueRock,2025-05-04,2025-12-26,May,5,1198439,1289599,7,8
P0069,Project_69,North,Residential,Construction,Completed,Safety,SafeBuild,2025-06-06,2026-01-21,June,6,1419610,1390021,8,9
P0070,Project_70,East,Commercial,Finishing,Pending,Safety,PrimeBuild,2025-12-26,2026-06-20,December,12,768152,735365,3,2
P0071,Project_71,South,Commercial,Design,Pending,Procurement,UrbanCon,2025-04-09,2025-08-02,April,4,1748966,1783017,8,10
P0072,Project_72,East,Residential,Design,In Progress,Engineering,PrimeBuild,2025-04-02,2025-08-17,April,4,229671,252134,2,5
P0073,Project_73,North,Residential,Finishing,In Progress,Procurement,UrbanCon,2025-11-23,2026-09-01,November,11,1778719,1817508,0,10
P0074,Project_74,East,Commercial,Construction,In Progress,Safety,UrbanCon,2025-01-27,2025-05-31,January,1,1201870,1069580,1,7
P0075,Project_75,West,Residential,Finishing,Pending,Procurement,ABC Ltd,2025-03-19,2025-06-25,March,3,1901088,1990427,4,2
P0076,Project_76,South,Residential,Finishing,In Progress,Procurement,NextGen Infra,2025-11-13,2026-03-10,November,11,1826747,1886847,7,15
P0077,Project_77,West,Commercial,Finishing,In Progress,Safety,NextGen Infra,2025-11-14,2026-01-28,November,11,1478488,1753543,1,13
P0078,Project_78,South,Industrial,Design,In Progress,Procurement,BuildCorp,2025-03-22,2025-07-21,March,3,564513,588898,2,1
P0079,Project_79,West,Commercial,Finishing,Pending,Safety,MegaConstruct,2025-01-17,2025-05-16,January,1,804199,882555,7,2
P0080,Project_80,South,Commercial,Finishing,Pending,Procurement,SafeBuild,2025-08-06,2025-11-03,August,8,1342030,1246320,2,15
P0081,Project_81,East,Residential,Design,Completed,Engineering,MegaConstruct,2025-11-01,2026-07-10,November,11,1928557,2023485,4,8
P0082,Project_82,North,Commercial,Finishing,In Progress,Procurement,Skyline Co,2025-05-20,2025-11-24,May,5,1332423,1362839,1,10
P0083,Project_83,North,Commercial,Finishing,In Progress,Procurement,MegaConstruct,2025-01-14,2025-04-07,January,1,680089,807040,0,13
P0084,Project_84,East,Industrial,Design,Completed,Safety,BlueRock,2025-11-30,2026-05-22,November,11,783336,715594,6,11
P0085,Project_85,West,Residential,Construction,In Progress,Safety,PrimeBuild,2025-06-14,2026-01-31,June,6,419361,482351,5,7
P0086,Project_86,West,Commercial,Finishing,In Progress,Procurement,ABC Ltd,2025-08-21,2025-11-11,August,8,859590,806587,1,13
P0087,Project_87,West,Industrial,Design,Pending,Procurement,Titan Builders,2025-07-31,2025-10-12,July,7,593389,612053,7,11
P0088,Project_88,West,Residential,Design,In Progress,Procurement,UrbanCon,2025-05-28,2025-11-16,May,5,1664336,1697038,0,11
P0089,Project_89,South,Industrial,Design,In Progress,Procurement,ABC Ltd,2025-10-10,2026-03-23,October,10,395473,367254,1,8
P0090,Project_90,North,Industrial,Design,In Progress,Procurement,MegaConstruct,2025-09-18,2026-05-16,September,9,773413,769872,7,8
P0091,Project_91,South,Commercial,Finishing,Completed,Safety,SafeBuild,2025-11-03,2026-05-12,November,11,1765088,2043555,1,5
P0092,Project_92,West,Commercial,Finishing,In Progress,Engineering,MegaConstruct,2025-06-02,2026-03-03,June,6,1430897,1506696,7,14
P0093,Project_93,South,Commercial,Finishing,In Progress,Safety,PrimeBuild,2025-10-10,2026-06-22,October,10,1339655,1315572,5,14
P0094,Project_94,South,Industrial,Design,Pending,Safety,SafeBuild,2025-07-30,2025-10-09,July,7,867264,963223,6,7
P0095,Project_95,South,Commercial,Design,Completed,Procurement,NextGen Infra,2025-06-19,2026-03-28,June,6,410479,474500,7,2
P0096,Project_96,West,Residential,Finishing,Completed,Safety,UrbanCon,2025-02-08,2025-08-07,February,2,1838977,2186950,5,10
P0097,Project_97,West,Industrial,Design,In Progress,Procurement,BlueRock,2025-07-14,2025-12-02,July,7,1514493,1668291,7,14
P0098,Project_98,North,Industrial,Design,Completed,Procurement,MegaConstruct,2025-04-27,2026-01-03,April,4,389539,390275,1,13
P0099,Project_99,North,Commercial,Design,Pending,Safety,ABC Ltd,2025-01-24,2025-06-16,January,1,1869633,1625910,5,6
P0100,Project_100,West,Residential,Design,Pending,Safety,NextGen Infra,2025-12-16,2026-09-04,December,12,577606,525329,1,10
P0101,Project_101,West,Industrial,Finishing,Completed,Safety,NextGen Infra,2025-03-15,2025-07-12,March,3,1167101,1252610,7,5
P0102,Project_102,North,Commercial,Construction,Pending,Procurement,UrbanCon,2025-02-07,2025-07-30,February,2,924703,1105647,4,11
P0103,Project_103,West,Industrial,Construction,In Progress,Safety,SafeBuild,2025-07-16,2026-04-20,July,7,1213360,1076649,6,10
P0104,Project_104,East,Industrial,Construction,Pending,Safety,ABC Ltd,2025-12-04,2026-05-14,December,12,775627,661481,0,15
P0105,Project_105,West,Commercial,Design,Pending,Safety,SafeBuild,2025-11-22,2026-03-10,November,11,1502103,1408551,2,11
P0106,Project_106,North,Industrial,Finishing,Completed,Safety,Titan Builders,2025-01-18,2025-08-14,January,1,965169,1067791,1,15
P0107,Project_107,East,Commercial,Finishing,In Progress,Engineering,SafeBuild,2025-03-09,2025-11-25,March,3,1331220,1539903,5,9
P0108,Project_108,East,Residential,Construction,In Progress,Safety,PrimeBuild,2025-02-28,2025-08-26,February,2,357914,321859,3,14
P0109,Project_109,West,Industrial,Construction,Completed,Safety,ABC Ltd,2025-05-16,2025-11-29,May,5,459184,463397,4,10
P0110,Project_110,West,Industrial,Construction,Completed,Procurement,SafeBuild,2025-08-30,2025-11-04,August,8,1499283,1738391,8,6
P0111,Project_111,South,Industrial,Design,Pending,Safety,MegaConstruct,2025-11-29,2026-05-12,November,11,444687,399738,0,5
P0112,Project_112,West,Residential,Design,Completed,Procurement,UrbanCon,2025-07-18,2026-01-10,July,7,978067,1060880,8,7
P0113,Project_113,South,Commercial,Finishing,Completed,Safety,NextGen Infra,2025-07-28,2026-05-24,July,7,786657,677666,5,4
P0114,Project_114,West,Commercial,Design,In Progress,Engineering,PrimeBuild,2025-10-06,2026-07-23,October,10,1552299,1514323,6,5
P0115,Project_115,South,Residential,Construction,Completed,Procurement,SafeBuild,2025-11-25,2026-07-06,November,11,1452305,1728072,0,13
P0116,Project_116,East,Residential,Design,Pending,Engineering,BuildCorp,2025-10-11,2026-02-01,October,10,1429734,1323337,3,6
P0117,Project_117,South,Industrial,Design,In Progress,Engineering,UrbanCon,2025-10-04,2026-02-05,October,10,1874604,1707902,0,3
P0118,Project_118,North,Commercial,Design,Pending,Safety,ABC Ltd,2025-03-31,2025-08-05,March,3,309888,277153,6,9
P0119,Project_119,North,Industrial,Design,In Progress,Safety,PrimeBuild,2025-09-20,2026-04-19,September,9,428702,432218,3,10
P0120,Project_120,North,Industrial,Finishing,Pending,Safety,Titan Builders,2025-11-26,2026-02-01,November,11,327560,392909,6,7
P0121,Project_121,North,Commercial,Finishing,In Progress,Engineering,BuildCorp,2025-06-14,2026-01-15,June,6,511078,446165,4,10
P0122,Project_122,East,Commercial,Finishing,Pending,Safety,Titan Builders,2025-09-16,2026-04-18,September,9,1102193,975123,1,14
P0123,Project_123,South,Commercial,Construction,Completed,Safety,PrimeBuild,2025-08-21,2026-01-30,August,8,1072393,1185385,5,7
P0124,Project_124,East,Industrial,Construction,In Progress,Engineering,Titan Builders,2025-02-04,2025-04-28,February,2,1944352,1710791,6,2
P0125,Project_125,East,Residential,Finishing,Completed,Procurement,BlueRock,2025-10-15,2026-03-08,October,10,1605119,1433019,5,14
P0126,Project_126,West,Industrial,Design,In Progress,Procurement,MegaConstruct,2025-06-30,2025-09-24,June,6,1411982,1450944,2,11
P0127,Project_127,West,Residential,Design,In Progress,Procurement,PrimeBuild,2025-02-28,2025-11-10,February,2,784199,824142,6,14
P0128,Project_128,North,Industrial,Finishing,Pending,Safety,ABC Ltd,2025-04-03,2025-08-10,April,4,1673666,1869222,5,6
P0129,Project_129,North,Residential,Design,Pending,Procurement,Skyline Co,2025-02-05,2025-05-12,February,2,1753924,1879522,0,2
P0130,Project_130,South,Commercial,Construction,In Progress,Safety,UrbanCon,2025-07-09,2025-11-25,July,7,1713296,1650818,1,15
P0131,Project_131,North,Residential,Design,Pending,Engineering,BuildCorp,2025-05-20,2025-11-09,May,5,1588186,1585653,7,7
P0132,Project_132,East,Residential,Finishing,Completed,Safety,Skyline Co,2025-02-26,2025-07-08,February,2,1622326,1764231,7,9
P0133,Project_133,East,Residential,Design,In Progress,Procurement,ABC Ltd,2025-01-04,2025-04-26,January,1,832122,982622,2,13
P0134,Project_134,East,Commercial,Construction,Completed,Engineering,Titan Builders,2025-08-09,2025-11-21,August,8,470922,462950,3,9
P0135,Project_135,East,Residential,Construction,Pending,Engineering,Skyline Co,2025-01-10,2025-07-06,January,1,363289,418413,6,10
P0136,Project_136,West,Industrial,Finishing,In Progress,Safety,BuildCorp,2025-07-27,2025-09-30,July,7,881088,801927,7,14
P0137,Project_137,East,Residential,Construction,Completed,Engineering,Skyline Co,2025-10-29,2026-04-09,October,10,1298829,1139756,4,12
P0138,Project_138,East,Residential,Construction,Completed,Engineering,BlueRock,2025-11-21,2026-02-18,November,11,1312758,1350149,5,6
P0139,Project_139,South,Residential,Design,Completed,Safety,SafeBuild,2025-03-30,2025-10-30,March,3,520591,581018,1,3
P0140,Project_140,West,Commercial,Finishing,Pending,Safety,NextGen Infra,2025-11-26,2026-07-06,November,11,1509717,1454042,5,3
P0141,Project_141,West,Residential,Construction,In Progress,Procurement,MegaConstruct,2025-05-21,2025-12-18,May,5,317801,309277,1,5
P0142,Project_142,West,Commercial,Design,Completed,Safety,MegaConstruct,2025-02-09,2025-09-22,February,2,1993680,1757635,8,7
P0143,Project_143,West,Industrial,Finishing,Pending,Engineering,Titan Builders,2025-10-20,2026-06-03,October,10,594766,572482,7,9
P0144,Project_144,South,Residential,Construction,Completed,Safety,BuildCorp,2025-09-16,2026-04-29,September,9,561882,485297,7,8
P0145,Project_145,South,Commercial,Construction,In Progress,Safety,Skyline Co,2025-06-23,2026-02-11,June,6,1453857,1262424,5,2
P0146,Project_146,East,Residential,Finishing,Pending,Safety,MegaConstruct,2025-05-10,2026-01-10,May,5,1985863,2144329,2,6
P0147,Project_147,North,Industrial,Finishing,Completed,Safety,MegaConstruct,2025-12-02,2026-07-28,December,12,1588598,1568240,1,5
P0148,Project_148,West,Industrial,Construction,Completed,Procurement,BlueRock,2025-02-17,2025-09-30,February,2,1606048,1603144,5,1
P0149,Project_149,East,Commercial,Design,Completed,Safety,Titan Builders,2025-04-09,2025-08-04,April,4,488495,441712,4,14
P0150,Project_150,North,Industrial,Finishing,Pending,Procurement,ABC Ltd,2025-12-05,2026-04-30,December,12,1807063,1926891,6,3
P0151,Project_151,South,Residential,Finishing,Pending,Engineering,Titan Builders,2025-01-23,2025-07-07,January,1,963991,1047595,3,8
P0152,Project_152,East,Industrial,Construction,Completed,Procurement,SafeBuild,2025-06-08,2026-03-02,June,6,1844943,1871059,3,6
P0153,Project_153,West,Commercial,Construction,In Progress,Procurement,BlueRock,2025-08-03,2025-11-12,August,8,1913145,1759891,2,14
P0154,Project_154,East,Residential,Finishing,In Progress,Safety,BlueRock,2025-02-22,2025-10-22,February,2,1973964,2034304,1,5
P0155,Project_155,North,Residential,Construction,In Progress,Procurement,UrbanCon,2025-08-12,2025-11-03,August,8,665647,756072,5,15
P0156,Project_156,North,Commercial,Design,In Progress,Procurement,PrimeBuild,2025-05-01,2025-10-06,May,5,371139,364168,0,6
P0157,Project_157,North,Industrial,Finishing,In Progress,Engineering,UrbanCon,2025-01-20,2025-06-02,January,1,1940136,1969934,2,13
P0158,Project_158,West,Commercial,Finishing,Completed,Engineering,ABC Ltd,2025-05-12,2025-09-04,May,5,1951044,1760489,8,7
P0159,Project_159,North,Commercial,Design,In Progress,Engineering,ABC Ltd,2025-05-03,2025-10-17,May,5,1539978,1736886,7,2
P0160,Project_160,North,Commercial,Finishing,Pending,Engineering,BlueRock,2025-10-22,2026-02-20,October,10,1706896,1536636,6,1
P0161,Project_161,East,Residential,Finishing,In Progress,Engineering,BuildCorp,2025-09-26,2026-02-25,September,9,341933,404743,8,9
P0162,Project_162,North,Commercial,Construction,Completed,Procurement,Skyline Co,2025-07-11,2025-11-12,July,7,1767236,1512196,1,6
P0163,Project_163,South,Industrial,Finishing,Pending,Engineering,NextGen Infra,2025-06-20,2025-09-22,June,6,292978,285156,5,14
P0164,Project_164,South,Industrial,Construction,Pending,Safety,UrbanCon,2025-03-11,2025-05-26,March,3,1701655,1908689,7,1
P0165,Project_165,East,Residential,Design,Completed,Engineering,PrimeBuild,2025-06-08,2025-12-16,June,6,1035136,1238222,8,8
P0166,Project_166,East,Residential,Finishing,Completed,Safety,PrimeBuild,2025-01-25,2025-11-02,January,1,1575168,1521885,1,13
